port_name,year,predicted_value,rank
Jackman,2027,352271,46.0
Jackman,2028,333861,47.0
Jackman,2029,315450,47.0
Jackman,2030,297040,45.0
Jackman,2031,278630,45.0
Jackman,2032,260219,44.0
Jackman,2033,241809,43.0
Jackman,2034,223399,43.0
Jackman,2035,204988,43.0
Kenneth G Ward,2026,992619,35.0
Kenneth G Ward,2027,943655,35.0
Kenneth G Ward,2028,894692,35.0
Kenneth G Ward,2029,845728,35.0
Kenneth G Ward,2030,796765,36.0
Kenneth G Ward,2031,747802,35.0
Kenneth G Ward,2032,698838,35.0
Kenneth G Ward,2033,649875,33.0
Kenneth G Ward,2034,600911,34.0
Kenneth G Ward,2035,551948,34.0
Ketchikan,2026,1773,108.0
Ketchikan,2027,1087,106.0
Ketchikan,2028,400,103.0
Ketchikan,2029,-285,99.0
Ketchikan,2030,-972,98.0
Ketchikan,2031,-1658,97.0
Ketchikan,2032,-2344,94.0
Ketchikan,2033,-3031,93.0
Ketchikan,2034,-3717,93.0
Ketchikan,2035,-4404,92.0
Lancaster,2026,29524,83.0
Lancaster,2027,22826,84.0
Lancaster,2028,16128,87.0
Lancaster,2029,9430,87.0
Lancaster,2030,2733,92.0
Lancaster,2031,-3964,99.0
Lancaster,2032,-10662,100.0
Lancaster,2033,-17360,100.0
Lancaster,2034,-24058,100.0
Lancaster,2035,-30756,101.0
Laredo,2026,17280910,4.0
Laredo,2027,16710407,3.0
Laredo,2028,16139905,3.0
Laredo,2029,15569402,3.0
Laredo,2030,14998899,3.0
Laredo,2031,14428396,3.0
Laredo,2032,13857894,3.0
Laredo,2033,13287391,3.0
Laredo,2034,12716888,3.0
Laredo,2035,12146385,3.0
Laurier,2026,69288,69.0
Laurier,2027,64161,67.0
Laurier,2028,59033,67.0
Laurier,2029,53906,66.0
Laurier,2030,48778,67.0
Laurier,2031,43651,66.0
Laurier,2032,38524,67.0
Laurier,2033,33396,68.0
Laurier,2034,28269,67.0
Laurier,2035,23141,67.0
Limestone,2026,-9603,112.0
Limestone,2027,-16897,111.0
Limestone,2028,-24191,112.0
Limestone,2029,-31485,109.0
Limestone,2030,-38778,108.0
Limestone,2031,-46072,107.0
Limestone,2032,-53366,106.0
Limestone,2033,-60660,105.0
Limestone,2034,-67954,104.0
Limestone,2035,-75248,104.0
Lukeville,2026,1026482,34.0
Lukeville,2027,1002354,34.0
Lukeville,2028,978225,34.0
Lukeville,2029,954096,34.0
Lukeville,2030,929967,32.0
Lukeville,2031,905839,31.0
Lukeville,2032,881710,31.0
Lukeville,2033,857581,31.0
Lukeville,2034,833452,32.0
Lukeville,2035,809324,31.0
Madawaska,2026,172608,55.0
Madawaska,2027,91015,61.0
Madawaska,2028,9422,91.0
Madawaska,2029,-72170,113.0
Madawaska,2030,-153763,112.0
Madawaska,2031,-235356,113.0
Madawaska,2032,-316949,112.0
Madawaska,2033,-398543,113.0
Madawaska,2034,-480136,112.0
Madawaska,2035,-561729,112.0
Maida,2026,3329,106.0
Maida,2027,1294,105.0
Maida,2028,-741,105.0
Maida,2029,-2776,101.0
Maida,2030,-4811,100.0
Maida,2031,-6847,101.0
Maida,2032,-8882,98.0
Maida,2033,-10917,97.0
Maida,2034,-12952,98.0
Maida,2035,-14988,98.0
Massena,2026,1316611,29.0
Massena,2027,1218587,31.0
Massena,2028,1120563,33.0
Massena,2029,1022539,33.0
Massena,2030,924515,34.0
Massena,2031,826491,34.0
Massena,2032,728467,34.0
Massena,2033,630443,36.0
Massena,2034,532420,36.0
Massena,2035,434396,38.0
Metaline Falls,2026,54062,75.0
Metaline Falls,2027,51686,72.0
Metaline Falls,2028,49310,70.0
Metaline Falls,2029,46934,69.0
Metaline Falls,2030,44557,69.0
Metaline Falls,2031,42181,67.0
Metaline Falls,2032,39805,65.0
Metaline Falls,2033,37429,65.0
Metaline Falls,2034,35052,64.0
Metaline Falls,2035,32676,62.0
Morgan,2026,10180,96.0
Morgan,2027,9644,93.0
Morgan,2028,9109,93.0
Morgan,2029,8573,89.0
Morgan,2030,8038,88.0
Morgan,2031,7502,88.0
Morgan,2032,6967,86.0
Morgan,2033,6432,83.0
Morgan,2034,5896,83.0
Morgan,2035,5361,83.0
Naco,2026,685942,39.0
Naco,2027,658895,39.0
Naco,2028,631849,39.0
Naco,2029,604803,39.0
Naco,2030,577756,39.0
Naco,2031,550710,39.0
Naco,2032,523664,38.0
Naco,2033,496617,38.0
Naco,2034,469571,38.0
Naco,2035,442525,37.0
Neche,2026,55694,74.0
Neche,2027,50909,73.0
Neche,2028,46123,71.0
Neche,2029,41338,71.0
Neche,2030,36553,73.0
Neche,2031,31768,72.0
Neche,2032,26983,71.0
Neche,2033,22197,71.0
Neche,2034,17412,72.0
Neche,2035,12627,77.0
Nighthawk,2026,10309,95.0
Nighthawk,2027,9702,92.0
Nighthawk,2028,9095,94.0
Nighthawk,2029,8488,90.0
Nighthawk,2030,7881,89.0
Nighthawk,2031,7274,89.0
Nighthawk,2032,6667,87.0
Nighthawk,2033,6060,85.0
Nighthawk,2034,5453,84.0
Nighthawk,2035,4846,84.0
Nogales,2026,10242737,5.0
Nogales,2027,9878277,5.0
Nogales,2028,9513818,5.0
Nogales,2029,9149359,5.0
Nogales,2030,8784900,6.0
Nogales,2031,8420441,6.0
Nogales,2032,8055982,5.0
Nogales,2033,7691523,6.0
Nogales,2034,7327064,6.0
Nogales,2035,6962604,6.0
Noonan,2026,39726,80.0
Noonan,2027,36878,79.0
Noonan,2028,34030,76.0
Noonan,2029,31182,74.0
Noonan,2030,28334,75.0
Noonan,2031,25487,74.0
Noonan,2032,22639,73.0
Noonan,2033,19791,72.0
Noonan,2034,16943,73.0
Noonan,2035,14095,74.0
Northgate,2026,47646,77.0
Northgate,2027,46335,74.0
Northgate,2028,45025,72.0
Northgate,2029,43715,70.0
Northgate,2030,42405,70.0
Northgate,2031,41094,68.0
Northgate,2032,39784,66.0
Northgate,2033,38474,63.0
Northgate,2034,37164,61.0
Northgate,2035,35854,60.0
Norton,2026,6812,98.0
Norton,2027,-6760,110.0
Norton,2028,-20333,111.0
Norton,2029,-33906,110.0
Norton,2030,-47478,110.0
Norton,2031,-61051,110.0
Norton,2032,-74624,108.0
Norton,2033,-88197,107.0
Norton,2034,-101769,106.0
Norton,2035,-115342,106.0
Noyes,2026,-230574,116.0
Noyes,2027,-246678,116.0
Noyes,2028,-262782,116.0
Noyes,2029,-278887,115.0
Noyes,2030,-294991,115.0
Noyes,2031,-311095,114.0
Noyes,2032,-327199,113.0
Noyes,2033,-343303,112.0
Noyes,2034,-359407,111.0
Noyes,2035,-375511,111.0
Ogdensburg,2026,589911,44.0
Ogdensburg,2027,570314,43.0
Ogdensburg,2028,550717,41.0
Ogdensburg,2029,531120,41.0
Ogdensburg,2030,511523,41.0
Ogdensburg,2031,491925,40.0
Ogdensburg,2032,472328,40.0
Ogdensburg,2033,452731,39.0
Ogdensburg,2034,433134,39.0
Ogdensburg,2035,413537,39.0
Opheim,2026,2666,107.0
Opheim,2027,2088,104.0
Opheim,2028,1510,101.0
Opheim,2029,932,96.0
Opheim,2030,354,95.0
Opheim,2031,-222,94.0
Opheim,2032,-800,92.0
Opheim,2033,-1378,90.0
Opheim,2034,-1956,90.0
Opheim,2035,-2534,89.0
Oroville,2026,360124,49.0
Oroville,2027,335888,49.0
Oroville,2028,311653,50.0
Oroville,2029,287417,50.0
Oroville,2030,263182,48.0
Oroville,2031,238947,47.0
Oroville,2032,214711,46.0
Oroville,2033,190476,46.0
Oroville,2034,166240,45.0
Oroville,2035,142005,45.0
Otay Mesa,2026,20652156,2.0
Otay Mesa,2027,20769736,2.0
Otay Mesa,2028,20887315,2.0
Otay Mesa,2029,21004895,2.0
Otay Mesa,2030,21122474,2.0
Otay Mesa,2031,21240054,2.0
Otay Mesa,2032,21357633,2.0
Otay Mesa,2033,21475213,2.0
Otay Mesa,2034,21592792,2.0
Otay Mesa,2035,21710372,2.0
Pembina,2026,1261193,32.0
Pembina,2027,1254583,29.0
Pembina,2028,1247973,28.0
Pembina,2029,1241363,27.0
Pembina,2030,1234752,27.0
Pembina,2031,1228142,25.0
Pembina,2032,1221532,25.0
Pembina,2033,1214922,25.0
Pembina,2034,1208311,24.0
Pembina,2035,1201701,24.0
Piegan,2026,158657,56.0
Piegan,2027,144407,56.0
Piegan,2028,130158,55.0
Piegan,2029,115908,57.0
Piegan,2030,101658,58.0
Piegan,2031,87409,58.0
Piegan,2032,73159,56.0
Piegan,2033,58909,58.0
Piegan,2034,44660,59.0
Piegan,2035,30410,65.0
Pinecreek,2026,3369,105.0
Pinecreek,2027,2600,103.0
Pinecreek,2028,1832,100.0
Pinecreek,2029,1063,95.0
Pinecreek,2030,294,96.0
Pinecreek,2031,-473,95.0
Pinecreek,2032,-1242,93.0
Pinecreek,2033,-2010,92.0
Pinecreek,2034,-2779,92.0
Pinecreek,2035,-3548,91.0
Point Roberts,2026,1319030,28.0
Point Roberts,2027,1262342,28.0
Point Roberts,2028,1205654,29.0
Point Roberts,2029,1148967,31.0
Point Roberts,2030,1092279,31.0
Point Roberts,2031,1035591,30.0
Point Roberts,2032,978904,30.0
Point Roberts,2033,922216,30.0
Point Roberts,2034,865528,30.0
Point Roberts,2035,808841,32.0
Port Angeles,2026,92518,65.0
Port Angeles,2027,87475,64.0
Port Angeles,2028,82432,63.0
Port Angeles,2029,77390,62.0
Port Angeles,2030,72347,62.0
Port Angeles,2031,67305,62.0
Port Angeles,2032,62262,59.0
Port Angeles,2033,57220,59.0
Port Angeles,2034,52177,58.0
Port Angeles,2035,47134,56.0
Port Huron,2026,3812857,17.0
Port Huron,2027,3596904,17.0
Port Huron,2028,3380951,16.0
Port Huron,2029,3164998,16.0
Port Huron,2030,2949045,16.0
Port Huron,2031,2733092,17.0
Port Huron,2032,2517139,17.0
Port Huron,2033,2301187,18.0
Port Huron,2034,2085234,17.0
Port Huron,2035,1869281,18.0
